"id","slug","name","headline","description","avatar_url","website_url","status","platform","doi","start_date","end_date","created_at","updated_at"
"83","cdrh-biothreat","CDRH Biothreat","Identify infectious diseases from clinical samples using sequencing technology","Many infectious diseases have similar signs and symptoms, making it challenging for healthcare providers to identify the disease-causing agent. Clinical samples are often tested by multiple test methods to help reveal the microbe that is causing the infectious disease. The results of these test methods can help healthcare professionals determine the best treatment for patients. Today, High-Throughput Sequencing (HTS) or Next Generation Sequencing (NGS) technology has the capability, as a single test, to accomplish what might have required several different tests in the past.  NGS technology may allow the diagnosis of infections without prior knowledge of disease(s) cause. NGS technology can potentially reveal the presence of all microorganisms in a patient sample. Using infectious disease NGS (ID-NGS) technology, each microbial pathogen may be identified by its unique genomic fingerprint. The vision of ID-NGS technology is to further improve patient care by delivering diagnostics ...","","https://precision.fda.gov/challenges/3","completed","6","","2018-08-03","2018-10-18","2023-06-23 00:00:00","2023-10-14 05:39:24"
"84","multi-omics-enabled-sample-mislabeling-correction","Multi-omics Enabled Sample Mislabeling Correction","Identify and correct sample and data mislabeling events","In biomedical research, sample mislabeling (accidental swapping of patient samples) or data mislabeling (accidental swapping of patient omics data) has been a long-standing problem that contributes to irreproducible results and invalid conclusions. These problems are particularly prevalent in large scale multi-omics studies, in which multiple different omics experiments are carried out at different time periods and/or in different labs. Human errors could arise during sample transferring, sample tracking, large-scale data generation, and data sharing/management. Thus, there is a pressing need to identify and correct sample and data mislabeling events to ensure the right data for the right patient. Simultaneous use of multiple types of omics platforms to characterize a large set of biological samples, as utilized in The Cancer Genome Atlas (TCGA) and the Clinical Proteomic Tumor Analysis Consortium (CPTAC) projects, has been demonstrated as a powerful approach to understanding the ...","","https://precision.fda.gov/challenges/4","completed","6","https://doi.org/10.1038/s41591-018-0180-x","2018-09-24","2018-12-19","2023-06-23 00:00:00","2023-11-14 19:07:58"
"85","biocompute-object-app-a-thon","BioCompute Object App-a-thon","Seeking standards for reproducible bioinformatics analysis","Like scientific laboratory experiments, bioinformatics analysis results and interpretation are faced with reproducibility challenges due to the variability in multiple computational parameters, including input format, prerequisites, platform dependencies, and more. Even small changes in these computational parameters may have a large impact on the results and carry big implications for their scientific validity. Because there are currently no standardized schemas for reporting computational scientific workflows and parameters together with their results, the ways in which these workflows are communicated is highly variable, incomplete, and difficult or impossible to reproduce.    The US Food and Drug Administration (FDA) High Performance Virtual Environment (HIVE) group and George Washington University (GW) have partnered to establish a framework for community-based standards development and harmonization of high-throughput sequencing (HTS) computations and data formats based arou...","","https://precision.fda.gov/challenges/7/","completed","6","https://doi.org/10.1101/2020.11.02.365528","2019-05-14","2019-10-18","2023-06-23 00:00:00","2023-10-14 05:39:25"
"86","brain-cancer-predictive-modeling-and-biomarker-discovery","Brain Cancer Predictive Modeling and Biomarker Discovery","Seeking novel biomarkers to advance precision medicine for brain tumors","An estimated 86,970 new cases of primary brain and other central nervous system tumors are expected to be diagnosed in the US in 2019. Brain tumors comprise a particularly deadly subset of all cancers due to limited treatment options and the high cost of care. Only a few prognostic and predictive markers have been successfully implemented in the clinic so far for gliomas, the most common malignant brain tumor type. These markers include MGMT promoter methylation in high-grade astrocytomas, co-deletion of 1p/19q in oligodendrogliomas, and mutations in IDH1 or IDH2 genes (Staedtke et al. 2016). There remains significant potential for identifying new clinical biomarkers in gliomas. Clinical investigators at Georgetown University are seeking to advance precision medicine techniques for the prognosis and treatment of brain tumors through the identification of novel multi-omics biomarkers. In support of this goal, precisionFDA and the Georgetown Lombardi Comprehensive Cancer Center and ...","","https://precision.fda.gov/challenges/8/","completed","6","","2019-11-01","2020-02-14","2023-06-23 00:00:00","2023-10-14 05:39:25"
"87","gaining-new-insights-by-detecting-adverse-event-anomalies","Gaining New Insights by Detecting Adverse Event Anomalies","Seeking algorithms to detect adverse events in FDA data","The Food and Drug Administration (FDA) calls on the public to develop computational algorithms for automatic detection of adverse event anomalies using publicly available data.","","https://precision.fda.gov/challenges/9/","completed","6","","2020-01-17","2020-05-18","2023-06-23 00:00:00","2023-10-14 05:39:27"
"88","calling-variants-in-difficult-to-map-regions","Calling Variants in Difficult-to-Map Regions","Precision benchmarking: evaluating variant calling in complex genomic regions","This challenge calls on the public to assess variant calling pipeline performance on a common frame of reference, with a focus on benchmarking in difficult-to-map regions, segmental duplications, and the Major Histocompatibility Complex (MHC).","","https://precision.fda.gov/challenges/10/","completed","6","https://doi.org/10.1016/j.xgen.2022.100129","2020-05-01","2020-06-15","2023-06-23 00:00:00","2023-10-14 05:39:28"
"89","vha-innovation-ecosystem-and-covid-19-risk-factor-modeling","VHA Innovation Ecosystem and COVID-19 Risk Factor Modeling","AI for COVID-19: predicting health outcomes in the veteran population","The novel coronavirus disease 2019 (COVID-19) is a respiratory disease caused by a new type of coronavirus, known as “severe acute respiratory syndrome coronavirus 2,” or SARS-CoV-2. On March 11, 2020, the World Health Organization (WHO) declared the outbreak a global pandemic. As of Monday, June 1, the Johns Hopkins University COVID-19 dashboard reports over 6.21 million total confirmed cases worldwide, including over 1.79 million cases in the United States. Although most people have mild to moderate symptoms, the disease can cause severe medical complications leading to death in some people. The Centers for Disease Control and Prevention (CDC) have identified several groups at elevated risk for severe illness, including people 65 years and older, individuals living in nursing homes or long term care facilities, and those with serious underlying medical conditions, such as severe obesity, diabetes, chronic lung disease or moderate to severe asthma, chronic kidney or liver disease...","","https://precision.fda.gov/challenges/11/","completed","6","","2020-06-02","2020-07-03","2023-06-23 00:00:00","2023-10-14 05:39:28"
"90","covid-19-precision-immunology-app-a-thon","COVID-19 Precision Immunology App-a-thon","Seeking insights on COVID-19 pathophysiology to enable effective strategies","The novel coronavirus disease 2019 (COVID-19), a respiratory disease caused by a new type of coronavirus, known as “severe acute respiratory syndrome coronavirus 2” or SARS-CoV-2, was declared a global pandemic by the World Health Organization on March 11, 2020. To date, the Johns Hopkins University COVID-19 dashboard reports over 62 million confirmed cases worldwide, with a wide range of disease severity from asymptomatic to deaths (over 1.46 million). To effectively combat the widespread transmission of COVID-19 infection and save lives especially of those vulnerable individuals, it is imperative to better understand its pathophysiology to enable effective diagnosis, prognosis and treatment strategies using rapidly shared data.","","https://precision.fda.gov/challenges/12/","completed","6","","2020-11-30","2021-01-29","2023-06-23 00:00:00","2023-10-14 05:39:29"
"91","smarter-food-safety-low-cost-tech-enabled-traceability","Smarter Food Safety Low Cost Tech-Enabled Traceability","Seeking affordable tech solutions for food traceability","The motivation is tapping into new technologies and integrating data streams will help to advance the widespread, consistent implementation of traceability systems across the food industry. However, the affordability of such technologies, particularly for smaller companies, can be a barrier to implementing tech-enabled traceability systems.    FDA's New Era of Smarter Food Safety initiative strives to work with stakeholders to explore low-cost or no-cost options so that our approaches are inclusive of and viable for human and animal food operations of all sizes. Democratizing the benefits of digitizing data will allow the entire food system to move more rapidly towards digital traceability systems. The primary goal is to encourage stakeholders, including technology providers, public health advocates, entrepreneurs, and innovators from all disciplines and around the world, to develop traceability hardware, software, or data analytics platforms that are low-cost or no-cost to the en...","","https://precision.fda.gov/challenges/13","completed","6","","2021-06-01","2021-07-30","2023-06-23 00:00:00","2023-10-17 23:05:49"
"92","tumor-mutational-burden-tmb-challenge-phase-1","Tumor Mutational Burden (TMB) Challenge Phase 1","Standardize tumor mutational burden (TMB) calculation in cancer research","Tumor mutational burden (TMB) is generally defined as the number of mutations detected in a patient's tumor sample per megabase of DNA sequenced. However different algorithms use different methods for calculating TMB. Mutations in genes in tumor cells may lead to the creation of neoantigens, which have the potential to activate an immune system response against the tumor, and the likelihood of an immune system response may increase with the number of mutations. Thus, TMB is a biomarker for some immunotherapy drugs, called immune checkpoint inhibitors, such as those that target the PD-1 and PD-L1 pathways (Chan et al., 2019).  An outstanding problem is the lack of standardization for TMB calculation and reporting between different assays. To address this problem, the Friends of Cancer Research convened a working group of industry and regulatory stakeholders to develop guidance and tools for TMB harmonization. Results from the first phase of this effort were presented at AACR 2020 (...","","https://precision.fda.gov/challenges/17","completed","6","","2021-06-21","2021-09-13","2023-06-23 00:00:00","2023-11-02 18:28:46"
"93","kits21","KiTS21","Contest seeks best kidney tumor segmentation system","The 2021 Kidney and Kidney Tumor Segmentation challenge (abbreviated KiTS21) is a competition in which teams compete to develop the best system for automatic semantic segmentation of renal tumors and surrounding anatomy. Kidney cancer is one of the most common malignancies in adults around the world, and its incidence is thought to be increasing [1]. Fortunately, most kidney tumors are discovered early while they're still localized and operable. However, there are important questions concerning management of localized kidney tumors that remain unanswered [2], and metastatic renal cancer remains almost uniformly fatal [3]. Kidney tumors are notorious for their conspicuous appearance in computed tomography (CT) imaging, and this has enabled important work by radiologists and surgeons to study the relationship between tumor size, shape, and appearance and its prospects for treatment [4,5,6]. It's laborious work, however, and it relies on assessments that are often subjective and impr...","https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/594/rendering_dimmed.png","https://kits21.grand-challenge.org/","completed","5","","2021-08-23","2021-09-17","2023-06-23 00:00:00","2023-11-28 00:32:11"
"94","realnoisemri","RealNoiseMRI","Brain MRI reconstruction challenge with realistic noise","In recent years, there is a growing focus on the application of fast magnetic resonance imaging (MRI) based on prior knowledge. In the 1980s and 2000s the community used either purely mathematical models such as the partial Fourier transform or solutions derived through advanced engineering such as parallel imaging to speed up MRI acquisition. Since the mid-2000's, compressed sensing and artificial intelligence have been employed to speed up MRI acquisition. These newer methods rely on under sampling the data acquired in Fourier (aka k-) space and then interpolating or augmenting k-space data based on training data content. One of the underlying problems for the development of fast imaging techniques, that just as in e.g. [1], it is common to use a fully sampled image as ground truth and then under sample it in k-space in order to simulate under sampled data. The problem with this approach is that in cases were the under sampled data is corrupted, through e.g. motion, this under s...","https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/597/Logo_Challenge.png","https://realnoisemri.grand-challenge.org/","completed","5","","2021-09-21","2021-12-06","2023-06-23 00:00:00","2023-11-27 20:40:05"
"95","deep-generative-model-challenge-for-da-in-surgery","Deep Generative Model Challenge for DA in Surgery","Challenge aims to adapt algorithms from simulation to mitral valve surgery","Mitral regurgitation (MR) is the second most frequent indication for valve surgery in Europe and may occur for organic or functional causes [1]. Mitral valve repair, although considerably more difficult, is prefered over mitral valve replacement, since the native tissue of the valve is preserved. It is a complex on-pump heart surgery, often conducted only by a handful of surgeons in high-volume centers. Minimally invasive procedures, which are performed with endoscopic video recordings, became more and more popular in recent years. However, data availability and data privacy concerns are still an issue for the development of automatic scene analysis algorithms. The AdaptOR challenge aims to address these issues by formulating a domain adaptation problem from simulation to surgery. We provide a smaller number of datasets from real surgeries, and a larger number of annotated recordings of training and planning sessions from a physical mitral valve simulator. The goal is to reduce th...","","https://adaptor2021.github.io/","completed","1","","2021-04-01","2021-07-16","2023-06-23 00:00:00","2023-10-14 05:39:34"
"96","aimdatathon","AIM Datathon 2020","AI in Medicine (AIM) Datathon 2020","Join the AI in Medicine ( AIM ) Datathon 2020","","https://www.kaggle.com/competitions/aimdatathon","completed","8","","2020-11-09","2020-11-22","2023-06-23 00:00:00","2023-11-15 22:43:19"
"97","opc-recurrence","Oropharynx Cancer (OPC) Radiomics Challenge :: Local Recurrence Prediction","Determine whether a tumor will be controlled by definitive radiation therapy","Determine from CT data whether a tumor will be controlled by definitive radiation therapy.","","https://www.kaggle.com/competitions/opc-recurrence","completed","8","","2016-07-26","2016-09-12","2023-06-23 00:00:00","2023-11-14 19:11:07"
"98","oropharynx-radiomics-hpv","Oropharynx Cancer (OPC) Radiomics Challenge :: Human Papilloma Virus (HPV) Status Prediction","Predict hpv phenotype of oropharynx tumors; compare to ground truth data","Predict from CT data the HPV phenotype of oropharynx tumors; compare to ground-truth results previously obtained by p16 or HPV testing.","","https://www.kaggle.com/competitions/oropharynx-radiomics-hpv","completed","8","","2016-07-26","2016-09-12","2023-06-23 00:00:00","2023-11-14 19:11:17"
"99","data-science-bowl-2017","Data Science Bowl 2017","Can you improve lung cancer detection?","Can you improve lung cancer detection?","","https://www.kaggle.com/competitions/data-science-bowl-2017","completed","8","","2017-01-12","2017-04-12","2023-06-23 00:00:00","2023-10-14 05:39:38"
"100","predict-impact-of-air-quality-on-death-rates","Predict impact of air quality on mortality rates","Predict CVD and cancer caused mortality rates in England using air quality data","Predict CVD and cancer caused mortality rates in England using air quality data available from Copernicus Atmosphere Monitoring Service","","https://www.kaggle.com/competitions/predict-impact-of-air-quality-on-death-rates","completed","8","","2017-02-13","2017-05-05","2023-06-23 00:00:00","2023-10-14 05:39:38"
"101","intel-mobileodt-cervical-cancer-screening","Intel & MobileODT Cervical Cancer Screening","Which cancer treatment will be most effective?","Which cancer treatment will be most effective?","","https://www.kaggle.com/competitions/intel-mobileodt-cervical-cancer-screening","completed","8","","2017-03-15","2017-06-21","2023-06-23 00:00:00","2023-10-14 05:39:39"
"102","msk-redefining-cancer-treatment","Personalized Medicine-Redefining Cancer Treatment","Predict the effect of genetic variants to enable personalized medicine","Predict the effect of Genetic Variants to enable Personalized Medicine","","https://www.kaggle.com/competitions/msk-redefining-cancer-treatment","completed","8","","2017-06-26","2017-10-02","2023-06-23 00:00:00","2023-11-02 18:32:51"
"103","mubravo","Predicting Cancer Diagnosis","Bravo's machine learning competition!","Bravo's machine learning competition!","","https://www.kaggle.com/competitions/mubravo","completed","8","","2018-07-31","2018-08-13","2023-06-23 00:00:00","2023-10-14 05:39:41"
"104","histopathologic-cancer-detection","Histopathologic Cancer Detection","Identify metastatic tissue in histopathologic scans of lymph node sections","Identify metastatic tissue in histopathologic scans of lymph node sections","","https://www.kaggle.com/competitions/histopathologic-cancer-detection","completed","8","","2018-11-16","2019-03-30","2023-06-23 00:00:00","2023-10-14 05:39:41"
"105","tjml1920-decision-trees","TJML 2019-20 Breast Cancer Detection Competition","Use a decision tree to identify malignant breast cancer tumors","Use a decision tree to identify malignant breast cancer tumors","","https://www.kaggle.com/competitions/tjml1920-decision-trees","completed","8","","2019-09-22","2019-10-16","2023-06-23 00:00:00","2023-10-14 05:39:42"
"106","prostate-cancer-grade-assessment","Prostate cANcer graDe Assessment (PANDA) Challenge","Prostate cancer diagnosis using the gleason grading system","Prostate cancer diagnosis using the Gleason grading system","","https://www.kaggle.com/competitions/prostate-cancer-grade-assessment","completed","8","","2020-04-21","2020-07-22","2023-06-23 00:00:00","2023-10-14 05:39:43"
"107","breast-cancer","Breast Cancer","Use cell nuclei categories to predict breast cancer tumor","Use cell nuclei categories to predict breast cancer tumor.","","https://www.kaggle.com/competitions/breast-cancer","completed","8","","2020-08-12","2020-08-13","2023-06-23 00:00:00","2023-10-14 05:39:43"
"108","breast-cancer-detection","Breast Cancer Detection","Breast cancer detection","breast cancer detection","","https://www.kaggle.com/competitions/breast-cancer-detection","completed","8","","2020-09-25","2020-12-31","2023-06-23 00:00:00","2023-10-14 05:39:44"
"109","hrpred","Prediction of High Risk Patients","Classification of high and low risk cancer patients","Classification of high and low risk cancer patients","","https://www.kaggle.com/competitions/hrpred","completed","8","","2020-11-25","2020-12-05","2023-06-23 00:00:00","2023-10-14 05:39:44"
"110","ml4moleng-cancer","MIT ML4MolEng-Predicting Cancer Progression","MIT 3.100, 10.402, 20.301 In class ML competition (Spring 2021)","MIT 3.100, 10.402, 20.301 In class ML competition (Spring 2021)","","https://www.kaggle.com/competitions/ml4moleng-cancer","completed","8","","2021-05-06","2021-05-21","2023-06-23 00:00:00","2023-11-16 18:41:14"
"111","uw-madison-gi-tract-image-segmentation","UW-Madison GI Tract Image Segmentation","Track healthy organs in medical scans to improve cancer treatment","Track healthy organs in medical scans to improve cancer treatment","","https://www.kaggle.com/competitions/uw-madison-gi-tract-image-segmentation","completed","8","","2022-04-14","2022-07-14","2023-06-23 00:00:00","2023-10-14 05:39:46"
"112","rsna-miccai-brain-tumor-radiogenomic-classification","RSNA-MICCAI Brain Tumor Radiogenomic Classification","Predict the status of a genetic biomarker important for brain cancer treatment","The Brain Tumor Segmentation (BraTS) challenge celebrates its 10th anniversary, and this year is jointly organized by the Radiological Society of North America (RSNA), the American Society of Neuroradiology (ASNR), and the Medical Image Computing and Computer Assisted Interventions (MICCAI) society. The RSNA-ASNR-MICCAI BraTS 2021 challenge utilizes multi-institutional pre-operative baseline multi-parametric magnetic resonance imaging (mpMRI) scans, and focuses on the evaluation of state-of-the-art methods for (Task 1) the segmentation of intrinsically heterogeneous brain glioblastoma sub-regions in mpMRI scans. Furthemore, this BraTS 2021 challenge also focuses on the evaluation of (Task 2) classification methods to predict the MGMT promoter methylation status. Participants are free to choose whether they want to focus only on one or both tasks.","","https://www.kaggle.com/competitions/rsna-miccai-brain-tumor-radiogenomic-classification","completed","8","","2021-07-13","2021-10-15","2023-06-23 00:00:00","2023-10-14 05:39:46"
"113","breastcancer","Breast Cancer - Beginners ML","Beginners hands-on experience with ML basics","Beginners hands-on experience with ML basics","","https://www.kaggle.com/competitions/breastcancer","completed","8","","2021-12-21","2022-02-12","2023-06-23 00:00:00","2023-10-18 21:18:15"
"114","ml-olympiad-health-and-education","ML Olympiad -Let's Fight lung cancer","Use your ml expertise to help us step another step toward defeating cancer","Use your ML expertise to help us step another step toward defeating cancer [ Starts on the 14th February ]","","https://www.kaggle.com/competitions/ml-olympiad-health-and-education","completed","8","","2022-01-31","2022-03-19","2023-06-23 00:00:00","2023-11-15 18:45:55"
"115","cs98-22-dl-task1","CS98X-22-DL-Task1","This competition is related to task 1 in coursework-breast cancer classification","This competition is related to Task 1 in coursework-breast cancer classification","","https://www.kaggle.com/competitions/CS98-22-DL-Task1","completed","8","","2022-02-28","2022-04-11","2023-06-23 00:00:00","2023-10-14 05:39:48"
"116","parasitedetection-iiitb2019","Parasite detection","Detect if cell image has parasite or is uninfected","detect if cell image has parasite or is uninfected","","https://www.kaggle.com/competitions/parasitedetection-iiitb2019","completed","8","","2019-10-13","2019-11-25","2023-06-23 00:00:00","2023-10-14 05:39:49"
"117","hpa-single-cell-image-classification","Human Protein Atlas -Single Cell Classification","Find individual human cell differences in microscope images","Find individual human cell differences in microscope images","","https://www.kaggle.com/competitions/hpa-single-cell-image-classification","completed","8","","2021-01-26","2021-05-11","2023-06-23 00:00:00","2023-10-14 05:39:50"
"118","stem-cell-predcition","Stem Cell Predcition","Classify stem and non-stem cells using RNA-seq data","Classify stem and non-stem cells using RNA-seq data","","https://www.kaggle.com/competitions/stem-cell-predcition","completed","8","","2021-04-01","2021-07-01","2023-06-23 00:00:00","2023-10-14 05:39:50"
"119","sartorius-cell-instance-segmentation","Sartorius - Cell Instance Segmentation","Detect single neuronal cells in microscopy images","In this competition, you’ll detect and delineate distinct objects of interest in biological images depicting neuronal cell types commonly used in the study of neurological disorders. More specifically, you'll use phase contrast microscopy images to train and test your model for instance segmentation of neuronal cells. Successful models will do this with a high level of accuracy. If successful, you'll help further research in neurobiology thanks to the collection of robust quantitative data. Researchers may be able to use this to more easily measure the effects of disease and treatment conditions on neuronal cells. As a result, new drugs could be discovered to treat the millions of people with these leading causes of death and disability.","","https://www.kaggle.com/competitions/sartorius-cell-instance-segmentation","completed","8","","2021-10-14","2021-12-30","2023-06-23 00:00:00","2023-10-16 18:05:17"
"120","pvelad","Photovoltaic cell anomaly detection","Photovoltaic cell anomaly detection","Hosted by Hebei University of Technology (AIHebut research group) and Beihang University (NAVE research group)","","https://www.kaggle.com/competitions/pvelad","completed","8","","2022-03-15","2022-07-30","2023-06-23 00:00:00","2023-10-14 05:39:51"
"121","blood-mnist","Blood-MNIST","Classifying blood cell types using weights and biases","Classifying blood cell types using Weights and Biases","","https://www.kaggle.com/competitions/blood-mnist","completed","8","","2022-03-19","2022-03-19","2023-06-23 00:00:00","2023-11-14 20:33:37"
"122","insilicomolhack","MolHack","Apply deep learning to speedup drug validation","Apply deep learning to speedup drug validation","","https://www.kaggle.com/competitions/insilicomolhack","completed","8","","2018-04-02","2018-05-25","2023-06-23 00:00:00","2023-10-14 05:39:53"
"123","codata2019challenge","Cell Response Classification","From recorded timeseries of many cells in a well, predict which drug treatme","From recorded timeseries of many cells in a well, predict which drug treatment has been applied","","https://www.kaggle.com/competitions/codata2019challenge","completed","8","","2019-04-08","2019-05-07","2023-06-23 00:00:00","2023-10-14 05:39:53"
"124","drug-solubility-challenge","Drug solubility challenge","Crucial role of solubility in drug formulation for optimal efficacy","Solubility is vital to achieve desired concentration of drug for anticipated pharmacological response.","","https://www.kaggle.com/competitions/drug-solubility-challenge","completed","8","","2019-05-18","2019-10-18","2023-06-23 00:00:00","2023-10-14 05:39:54"
"125","kinase-inhibition-challenge","Kinase inhibition challenge","Unlocking the therapeutic potential of protein kinases: big data insights","Protein kinases have become a major class of drug targets, accumulating a huge amount of data","","https://www.kaggle.com/competitions/kinase-inhibition-challenge","completed","8","","2019-05-20","2019-12-28","2023-06-23 00:00:00","2023-10-14 05:39:54"
"126","ai-drug-discovery","AI Drug Discovery Workshop and Coding Challenge","Fostering core AI programming proficiency for drug discovery advancements","Developing Fundamental AI Programming Skills for Drug Discovery","","https://www.kaggle.com/competitions/ai-drug-discovery","completed","8","","2021-11-12","2021-12-31","2023-06-23 00:00:00","2023-11-02 18:41:48"
"127","protein-compound-affinity","Structure-free protein-ligand affinity prediction - Task 1 Fitting","Developing new AI models for drug discovery","Developing new AI models for drug discovery, main portal (Task-1 fitting)","","https://www.kaggle.com/competitions/protein-compound-affinity","completed","8","","2021-12-06","2021-12-31","2023-06-23 00:00:00","2023-11-14 20:34:30"
"128","cisc873-dm-f21-a5","CISC873-DM-F21-A5","Anti-cancer drug activity prediction","Anti-Cancer Drug Activity Prediction","","https://www.kaggle.com/competitions/cisc873-dm-f21-a5","completed","8","","2021-11-26","2021-12-10","2023-06-23 00:00:00","2023-10-14 05:39:56"
"129","pro-lig-aff-task2-mse","Structure-free protein-ligand affinity prediction - Task 2 Fitting","Developing new AI models for drug discovery","Developing new AI models for drug discovery (Task-2 fitting)","","https://www.kaggle.com/competitions/pro-lig-aff-task2-mse","completed","8","","2021-12-08","2021-12-31","2023-06-23 00:00:00","2023-11-15 22:42:37"
"130","pro-lig-aff-task1-pearsonr","Structure-free protein-ligand affinity prediction - Task 1 Ranking","Developing new AI models for drug discovery","Developing new AI models for drug discovery (Task-1 ranking)","","https://www.kaggle.com/competitions/pro-lig-aff-task1-pearsonr","completed","8","","2021-12-08","2021-12-31","2023-06-23 00:00:00","2023-11-15 22:42:40"
"131","pro-lig-aff-task2-pearsonr","Structure-free protein-ligand affinity prediction - Task 2 Ranking","Developing new AI models for drug discovery","Developing new AI models for drug discovery (Task-2 ranking)","","https://www.kaggle.com/competitions/pro-lig-aff-task2-pearsonr","completed","8","","2021-12-08","2021-12-31","2023-06-23 00:00:00","2023-11-15 22:42:43"
"132","pro-lig-aff-task3-spearmanr","Structure-free protein-ligand affinity prediction - Task 3 Ranking","Developing new AI models for drug discovery","Developing new AI models for drug discovery (Task-3 ranking)","","https://www.kaggle.com/competitions/pro-lig-aff-task3-spearmanr","completed","8","","2021-12-08","2021-12-31","2023-06-23 00:00:00","2023-11-15 22:42:44"
"133","hhp","Heritage Health Prize","Identify patients who will be admitted to a hospital within the next year","Identify patients who will be admitted to a hospital within the next year using historical claims data. (Enter by 06-59-59 UTC Oct 4 2012)","","https://www.kaggle.com/competitions/hhp","completed","8","","2011-04-04","2013-04-04","2023-06-23 00:00:00","2023-11-14 19:11:25"
"134","pf2012","Practice Fusion Analyze This! 2012 - Prediction Challenge","Propose innovative predictive modeling challenges","Start digging into electronic health records and submit your ideas for the most promising, impactful or interesting predictive modeling competitions","","https://www.kaggle.com/competitions/pf2012","completed","8","","2012-06-07","2012-06-30","2023-06-23 00:00:00","2023-11-14 19:11:32"
"135","pf2012-at","Practice Fusion Analyze This! 2012 - Open Challenge","Propose innovative predictive modeling challenges","Start digging into electronic health records and submit your creative, insightful, and visually striking analyses.","","https://www.kaggle.com/competitions/pf2012-at","completed","8","","2012-06-07","2012-09-10","2023-06-23 00:00:00","2023-11-14 19:21:00"
"136","seizure-detection","UPenn and Mayo Clinic's Seizure Detection Challenge","Detect seizures in intracranial EEG recordings","Detect seizures in intracranial EEG recordings","","https://www.kaggle.com/competitions/seizure-detection","completed","8","","2014-05-19","2014-08-19","2023-06-23 00:00:00","2023-10-14 05:40:02"
"137","seizure-prediction","American Epilepsy Society Seizure Prediction Challenge","Predict seizures in intracranial EEG recordings","Predict seizures in intracranial EEG recordings","","https://www.kaggle.com/competitions/seizure-prediction","completed","8","","2014-08-25","2014-11-17","2023-06-23 00:00:00","2023-10-14 05:40:03"
"138","deephealth-1","Deep Health - alcohol","Find correlations and patterns with medical data","Find Correlations and patterns with Medical data","","https://www.kaggle.com/competitions/deephealth-1","completed","8","","2017-02-13","2017-02-19","2023-06-23 00:00:00","2023-10-16 18:14:48"
"139","deep-health-3","Deep Health - Diabetes 2","Deep health hackathon: predicting future diabetes occurrences challenge","This competition is for those attending the Deep Health Hackathon. Predict the next occurrence of diabetes","","https://www.kaggle.com/competitions/deep-health-3","completed","8","","2017-02-15","2017-02-19","2023-06-23 00:00:00","2023-10-16 18:14:50"
"140","d012554-2021","D012554 - 2021","Classify the health of a fetus using CTG data","Classify the health of a fetus using CTG data","","https://www.kaggle.com/competitions/d012554-2021","completed","8","","2021-04-11","2021-05-09","2023-06-23 00:00:00","2023-10-16 18:15:04"
"141","idao-2022-bootcamp-insomnia","IDAO 2022. ML Bootcamp - Insomnia","Predict sleep disorder on given human health data","Predict sleep disorder on given human health data","","https://www.kaggle.com/competitions/idao-2022-bootcamp-insomnia","completed","8","","2021-12-04","2021-12-05","2023-06-23 00:00:00","2023-10-16 18:15:12"
"142","tweet-mental-health-classification","Tweet Mental Health Classification","Build models to classify tweets to determine mental health","Build Models to classify tweets to determine mental health","","https://www.kaggle.com/competitions/tweet-mental-health-classification","completed","8","","2021-12-27","2022-01-31","2023-06-23 00:00:00","2023-10-14 05:40:07"
"143","ml-olympiad-good-health-and-well-being","ML Olympiad - GOOD HEALTH AND WELL BEING","Use your ML expertise to classify if a patient has heart disease or not","Use your ML expertise to classify if a patient has heart disease or not","","https://www.kaggle.com/competitions/ml-olympiad-good-health-and-well-being","completed","8","","2022-02-03","2022-03-01","2023-06-23 00:00:00","2023-10-16 18:15:20"
"144","rsna-breast-cancer-detection","RSNA Screening Mammography Breast Cancer Detection","Find breast cancers in screening mammograms","Find breast cancers in screening mammograms","","https://www.kaggle.com/competitions/rsna-breast-cancer-detection","completed","8","","2022-11-28","2023-02-27","2023-06-23 00:00:00","2023-10-14 05:40:12"
"145","biocreative-vii-text-mining-drug-and-chemical-protein-interactions-drugprot","BioCreative VII: Text mining drug and chemical-protein interactions (DrugProt)","Develop systems to extract drug-gene relations from text","With the rapid accumulation of biomedical literature, it is getting increasingly challenging to exploit efficiently drug-related information described in the scientific literature. One of the most relevant aspects of drugs and chemical compounds are their relationships with certain biomedical entities, in particular genes and proteins.  The aim of the DrugProt track (similar to the previous CHEMPROT task of BioCreative VI) is to promote the development and evaluation of systems that are able to automatically detect in relations between chemical compounds/drug and genes/proteins.  There are a range of different types of drug-gene/protein interactions, and their systematic extraction and characterization is essential to analyze, predict and explore key biomedical properties underlying high impact biomedical applications. These application scenarios include use cases related to drug discovery, drug repurposing, drug design, metabolic engineering, modeling drug response, pharmacogenet...","","https://biocreative.bioinformatics.udel.edu/tasks/biocreative-vii/track-1/","completed","\N","","2021-06-15","2021-09-22","2023-06-23 00:00:00","2023-11-01 20:37:37"
